TargetNode	01	02	03	04	05	06	07	08	09	10
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_GS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_variant_RF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_anthracis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus	Bacillus_cereus_R309803;_CM000720.1;_TOPREFPERCREADS100	Bacillus_cereus_m1550;_CM000722.1;_TOPREFPERCREADS100	Bacillus_cereus_m1293;_CM000714.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_R309803	Bacillus_cereus_R309803;_CM000720.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_group	Bacillus_thuringiensis_serovar_kurstaki_str._YBT-1520;_CP007607.1;_TOPREFPERCREADS100	Bacillus_thuringiensis_HD-771;_CP003752.1;_TOPREFPERCREADS100	Bacillus_anthracis;_CP009981.1;_TOPREFPERCREADS100	Bacillus_anthracis;_CP009476.1;_TOPREFPERCREADS100	Bacillus_cereus;_CP009605.1;_TOPREFPERCREADS100	Bacillus_cereus;_CP012483.1;_TOPREFPERCREADS100	Bacillus_mycoides;_CP009651.1;_TOPREFPERCREADS100	Bacillus_cereus_ATCC_4342;_CP009628.1;_TOPREFPERCREADS100	Bacillus_thuringiensis;_CP013055.1;_TOPREFPERCREADS100	Bacillus_thuringiensis;_CP009720.1;_TOPREFPERCREADS100
Bacillus_thuringiensis	Bacillus_thuringiensis;_CP013273.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella	Bordetella_flabilis;_CP016172.1;_TOPREFPERCREADS100	Bordetella_genomosp._9;_CP021109.1;_TOPREFPERCREADS100	Bordetella_genomosp._8;_CP021108.1;_TOPREFPERCREADS000	Bordetella_bronchialis;_CP016171.1;_TOPREFPERCREADS000	Bordetella_bronchialis;_CP016170.1;_TOPREFPERCREADS000	Bordetella_genomosp._9;_CP021110.1;_TOPREFPERCREADS000	Bordetella_sp._H567;_CP012334.1;_TOPREFPERCREADS000	NA	NA	NA
Bordetella_avium_197N	Bordetella_avium_197N;_AM167904.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_genomosp._13	Bordetella_genomosp._13;_CP021111.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_holmesii	Bordetella_holmesii_ATCC_51541;_CP007494.1;_TOPREFPERCREADS100	Bordetella_holmesii;_CP016341.1;_TOPREFPERCREADS100	Bordetella_holmesii_F627;_CP007159.1;_TOPREFPERCREADS100	Bordetella_holmesii_44057;_CP007495.1;_TOPREFPERCREADS100	Bordetella_holmesii_H558;_CP007158.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA
Bordetella_pertussis	Bordetella_bronchiseptica_MO149;_HE965807.1;_TOPREFPERCREADS100	Bordetella_pertussis_Tohama_I;_BX470248.1;_TOPREFPERCREADS100	Achromobacter_denitrificans;_CP013923.1;_TOPREFPERCREADS100	Achromobacter_xylosoxidans_A8;_CP002287.1;_TOPREFPERCREADS100	Achromobacter_xylosoxidans;_CP012046.1;_TOPREFPERCREADS100	Achromobacter_xylosoxidans;_LN831029.1;_TOPREFPERCREADS100	Achromobacter_xylosoxidans;_CP014060.1;_TOPREFPERCREADS100	Bordetella_pertussis_B1917;_CP009751.1;_TOPREFPERCREADS100	Bordetella_parapertussis_Bpp5;_HE965803.1;_TOPREFPERCREADS100	Bordetella_bronchiseptica;_CP016431.1;_TOPREFPERCREADS100
Bordetella_petrii	Bordetella_petrii;_AM902716.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	Brucella_suis_VBI22;_CP003128.1;_TOPREFPERCREADS100	Brucella_abortus_bv._9_str._C68;_CP007705.1;_TOPREFPERCREADS100	Brucella_melitensis_M28;_CP002459.1;_TOPREFPERCREADS100	Brucella_abortus_bv._6_str._870;_CP007709.1;_TOPREFPERCREADS100	Brucella_pinnipedialis;_CP007743.1;_TOPREFPERCREADS100	Brucella_sp._141012304;_LT605585.1;_TOPREFPERCREADS100	Brucella_abortus_104M;_CP009625.1;_TOPREFPERCREADS100	Brucella_vulpis;_LN997863.1;_TOPREFPERCREADS100	Brucella_abortus_bv._2_str._86/8/59;_CP007765.1;_TOPREFPERCREADS100	Brucella_ceti_TE10759-12;_CP006896.1;_TOPREFPERCREADS100
Brucella_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_mallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_caviae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_felis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_muridarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pecorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_psittaci	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_trachomatis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
