Taxon	Reference	0	1	2	3	4	5	6	7	8	9	10	higher
African_swine_fever_virus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_anthracis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_group	Bacillus_cereus_ATCC_4342	5234115	78	4	15	8	25	18	14	520	0	0	0
Bacillus_thuringiensis	Bacillus_thuringiensis	24013	720	130	666	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis_ER-3	Blastomyces_dermatitidis_ER-3	8458386	4	144	0	0	0	0	0	0	0	0	0
Bordetella	Bordetella_flabilis	5835651	76	0	0	0	0	0	0	0	0	0	0
Bordetella_pertussis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_petrii	Bordetella_petrii	5287298	167	26	363	96	0	0	0	0	0	0	0
Borreliaceae	Borrelia_recurrentis_A1	930752	12	22	195	0	0	0	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella	Brucella_suis_VBI22	2108595	42	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_mallei	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei	Burkholderia_mallei_SAVP1	3497423	56	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_psittaci	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium	Clostridium	4083675	3882	4802	4521	4872	4575	3822	3171	2912	2925	1770	2800
Clostridium_aceticum	Clostridium_aceticum	4201242	76	0	0	0	0	0	0	0	0	0	0
Clostridium_argentinense	Clostridium_argentinense	4661125	114	214	9	308	50	42	308	360	18	440	0
Clostridium_bornimense	Clostridium_bornimense	2917564	152	148	0	0	0	0	0	0	0	0	0
Clostridium_botulinum	Clostridium_botulinum	4392973	74	0	0	0	0	0	0	0	0	0	0
Clostridium_botulinum_BKT015925	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_botulinum_E3_str._Alaska_E43	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_butyricum	Clostridium_butyricum	3809681	150	0	0	0	0	0	0	0	0	0	0
Clostridium_cochlearium	Clostridium_cochlearium	2429237	53	208	138	116	240	492	658	1232	594	740	1711
Clostridium_formicaceticum	Clostridium_formicaceticum	4586603	152	0	0	0	0	0	0	0	0	0	0
Clostridium_kluyveri	Clostridium_kluyveri_DSM_555	3962046	56	60	201	312	295	174	42	80	63	330	959
Clostridium_pasteurianum_BC1	Clostridium_pasteurianum_BC1	4990555	8	144	0	0	0	0	0	0	0	0	0
Clostridium_perfringens	Clostridium_perfringens	3346511	76	152	0	0	0	0	0	0	0	0	0
Clostridium_perfringens_F262	Selenomonas_ruminantium_subsp._lactilytica_TAM6421	3002623	163	12	12	48	305	6	511	0	0	0	0
Clostridium_sp._BNL1100	Clostridium_sp._BNL1100	4613671	76	0	0	0	0	0	0	0	0	0	0
